期間,株式コード,終値
1992/12/13,7203,1470
1992/12/20,7203,1500
1992/12/27,7203,1480
1993/01/03,7203,1430
1993/01/10,7203,1420
1993/01/17,7203,1380
1993/01/24,7203,1410
1993/01/31,7203,1430
1993/02/07,7203,1400
1993/02/14,7203,1370
1993/02/21,7203,1350
1993/02/28,7203,1310
1993/03/07,7203,1370
1993/03/14,7203,1430
1993/03/21,7203,1450
1993/03/28,7203,1510
1993/04/04,7203,1700
1993/04/11,7203,1680
1993/04/18,7203,1630
1993/04/25,7203,1750
1993/05/02,7203,1750
1993/05/09,7203,1690
1993/05/16,7203,1710
1993/05/23,7203,1640
1993/05/30,7203,1690
1993/06/06,7203,1670
1993/06/13,7203,1550
1993/06/20,7203,1530
1993/06/27,7203,1550
1993/07/04,7203,1550
1993/07/11,7203,1630
1993/07/18,7203,1610
1993/07/25,7203,1640
1993/08/01,7203,1660
1993/08/08,7203,1630
1993/08/15,7203,1650
1993/08/22,7203,1650
1993/08/29,7203,1700
1993/09/05,7203,1720
1993/09/12,7203,1680
1993/09/19,7203,1680
1993/09/26,7203,1690
1993/10/03,7203,1770
1993/10/10,7203,1780
1993/10/17,7203,1850
1993/10/24,7203,1880
1993/10/31,7203,1840
1993/11/07,7203,1790
1993/11/14,7203,1810
1993/11/21,7203,1660
1993/11/28,7203,1730
1993/12/05,7203,1770
1993/12/12,7203,1790
1993/12/19,7203,1720
1993/12/26,7203,1780
1994/01/02,7203,1850
1994/01/09,7203,1850
1994/01/16,7203,1850
1994/01/23,7203,1830
1994/01/30,7203,1950
1994/02/06,7203,1900
1994/02/13,7203,1870
1994/02/20,7203,1990
1994/02/27,7203,2040
1994/03/06,7203,2050
1994/03/13,7203,2060
1994/03/20,7203,1990
1994/03/27,7203,2000
1994/04/03,7203,2000
1994/04/10,7203,2030
1994/04/17,7203,2030
1994/04/24,7203,1990
1994/05/01,7203,1980
1994/05/08,7203,1980
1994/05/15,7203,2010
1994/05/22,7203,2100
1994/05/29,7203,2130
1994/06/05,7203,2120
1994/06/12,7203,2210
1994/06/19,7203,2230
1994/06/26,7203,2170
1994/07/03,7203,2210
1994/07/10,7203,2210
1994/07/17,7203,2170
1994/07/24,7203,2120
1994/07/31,7203,2130
1994/08/07,7203,2170
1994/08/14,7203,2150
1994/08/21,7203,2150
