,x1,x2,x3,y
196,121.28136363636364,118.776875,121.60739130434781,122.35894736842104
197,122.35894736842104,121.28136363636364,118.776875,127.16722222222224
198,127.16722222222224,122.35894736842104,121.28136363636364,132.685
199,132.685,127.16722222222224,122.35894736842104,133.5666666666667
200,133.5666666666667,132.685,127.16722222222224,131.09
201,131.09,133.5666666666667,132.685,131.07238095238094
202,131.07238095238094,131.09,133.5666666666667,126.5685
203,126.5685,131.07238095238094,131.09,123.5975
204,123.5975,126.5685,131.07238095238094,117.96636363636365
205,117.96636363636365,123.5975,126.5685,119.00590909090906
206,119.00590909090906,117.96636363636365,123.5975,120.60000000000001
207,120.60000000000001,119.00590909090906,117.96636363636365,123.86318181818183
208,123.86318181818183,120.60000000000001,119.00590909090906,121.55166666666668
209,121.55166666666668,123.86318181818183,120.60000000000001,122.37052631578949
210,122.37052631578949,121.55166666666668,123.86318181818183,118.67999999999999
211,118.67999999999999,122.37052631578949,121.55166666666668,119.20388888888891
212,119.20388888888891,118.67999999999999,122.37052631578949,118.56800000000003
213,118.56800000000003,119.20388888888891,118.67999999999999,119.7915
214,119.7915,118.56800000000003,119.20388888888891,117.28399999999999
215,117.28399999999999,119.7915,118.56800000000003,118.2642857142857
216,118.2642857142857,117.28399999999999,119.7915,118.70571428571432
217,118.70571428571432,118.2642857142857,117.28399999999999,118.82666666666665
218,118.82666666666665,118.70571428571432,118.2642857142857,115.11315789473684
219,115.11315789473684,118.82666666666665,118.70571428571432,109.57954545454545
220,109.57954545454545,115.11315789473684,118.82666666666665,109.231875
221,109.231875,109.57954545454545,115.11315789473684,107.9355
222,107.9355,109.231875,109.57954545454545,106.47722222222222
223,106.47722222222222,107.9355,109.231875,106.60944444444445
224,106.60944444444445,106.47722222222222,107.9355,108.62304347826087
225,108.62304347826087,106.60944444444445,106.47722222222222,107.29200000000003
226,107.29200000000003,108.62304347826087,106.60944444444445,112.52176470588236
227,112.52176470588236,107.29200000000003,108.62304347826087,109.44142857142857
228,109.44142857142857,112.52176470588236,107.29200000000003,109.39949999999999
229,109.39949999999999,109.44142857142857,112.52176470588236,110.355
230,110.355,109.39949999999999,109.44142857142857,109.99315789473684
231,109.99315789473684,110.355,109.39949999999999,108.92399999999998
232,108.92399999999998,109.99315789473684,110.355,104.89500000000002
233,104.89500000000002,108.92399999999998,109.99315789473684,103.8445
234,103.8445,104.89500000000002,108.92399999999998,103.26777777777778
235,103.26777777777778,103.8445,104.89500000000002,104.8338888888889
236,104.8338888888889,103.26777777777778,103.8445,105.26
237,105.26,104.8338888888889,103.26777777777778,107.3595
238,107.3595,105.26,104.8338888888889,106.8561111111111
239,106.8561111111111,107.3595,105.26,108.6318181818182
240,108.6318181818182,106.8561111111111,107.3595,111.95105263157893
241,111.95105263157893,108.6318181818182,106.8561111111111,110.72173913043478
242,110.72173913043478,111.95105263157893,108.6318181818182,111.15789473684211
243,111.15789473684211,110.72173913043478,111.95105263157893,114.81700000000001
244,114.81700000000001,111.15789473684211,110.72173913043478,118.43277777777777
245,118.43277777777777,114.81700000000001,111.15789473684211,118.7465
246,118.7465,118.43277777777777,114.81700000000001,115.5272222222222
247,115.5272222222222,118.7465,118.43277777777777,117.86789473684212
248,117.86789473684212,115.5272222222222,118.7465,117.31181818181821
249,117.31181818181821,117.86789473684212,115.5272222222222,117.02315789473684
250,117.02315789473684,117.31181818181821,117.86789473684212,111.46105263157894
251,111.46105263157894,117.02315789473684,117.31181818181821,114.53363636363633
252,114.53363636363633,111.46105263157894,117.02315789473684,115.72842105263159
253,115.72842105263159,114.53363636363633,111.46105263157894,115.88043478260867
254,115.88043478260867,115.72842105263159,114.53363636363633,117.03526315789475
255,117.03526315789475,115.88043478260867,115.72842105263159,118.65761904761906
256,118.65761904761906,117.03526315789475,115.88043478260867,117.34700000000001
257,117.34700000000001,118.65761904761906,117.03526315789475,117.225
258,117.225,117.34700000000001,118.65761904761906,120.59722222222223
259,120.59722222222223,117.225,117.34700000000001,120.50166666666665
260,120.50166666666665,120.59722222222223,117.225,117.2757142857143
261,117.2757142857143,120.50166666666665,120.59722222222223,118.83349999999999
262,118.83349999999999,117.2757142857143,120.50166666666665,120.68249999999998
